#At	time	x	process	y	state	arr	w	total	z	remain	y	wait	k
At	time	1	process	1	started	arr	1	total	9	remain	9	wait	0
At	time	3	process	1	stopped	arr	1	total	9	remain	7	wait	0
At	time	3	process	1	resumed	arr	1	total	9	remain	7	wait	0
At	time	5	process	1	stopped	arr	1	total	9	remain	5	wait	0
At	time	5	process	2	started	arr	3	total	5	remain	5	wait	2
At	time	7	process	2	stopped	arr	3	total	5	remain	3	wait	2
At	time	7	process	3	started	arr	3	total	8	remain	8	wait	4
At	time	9	process	3	stopped	arr	3	total	8	remain	6	wait	4
At	time	9	process	1	resumed	arr	1	total	9	remain	5	wait	0
At	time	11	process	1	stopped	arr	1	total	9	remain	3	wait	0
At	time	11	process	2	resumed	arr	3	total	5	remain	3	wait	2
At	time	13	process	2	stopped	arr	3	total	5	remain	1	wait	2
At	time	13	process	3	resumed	arr	3	total	8	remain	6	wait	4
At	time	15	process	3	stopped	arr	3	total	8	remain	4	wait	4
At	time	15	process	1	resumed	arr	1	total	9	remain	3	wait	0
At	time	17	process	1	stopped	arr	1	total	9	remain	1	wait	0
At	time	17	process	2	resumed	arr	3	total	5	remain	1	wait	2
At	time	17	process	2	finished	arr	3	total	5	remain	0	wait	2 TA 14 WTA 2.80
At	time	17	process	3	resumed	arr	3	total	8	remain	4	wait	4
At	time	19	process	3	stopped	arr	3	total	8	remain	2	wait	4
At	time	19	process	1	resumed	arr	1	total	9	remain	1	wait	0
At	time	21	process	1	stopped	arr	1	total	9	remain	-1	wait	0
At	time	21	process	3	resumed	arr	3	total	8	remain	2	wait	4
At	time	22	process	3	finished	arr	3	total	8	remain	0	wait	4 TA 19 WTA 2.38
At	time	22	process	1	resumed	arr	1	total	9	remain	-1	wait	0
At	time	22	process	1	finished	arr	1	total	9	remain	0	wait	0 TA 21 WTA 2.33
